# rate of acetaldhehyde hydrate dehydration in acetone catalyzed by various acids
# kc is in M^-1 min^-1
# data is from Table 3 in "The Catalyzed Dehydration of Acetaldehyde Hydrate, and the Effect of Structure on the Velocity of Protolytic Reactions
# R. P. Bell and W. C. E. Higginson
# Proceedings of the Royal Society of London. Series A, Mathematical and Physical Sciences
# 1949, 197, 141-159. https://www.jstor.org/stable/98240
#
"NUMBER",  "ACID",             "k",         "Ka",          "p",         "q"
1,   "propionic",               18,         1.35E-05,         1,         2
2,   "acetic",                  19.2,       1.76E-05,         1,         2
3,   "beta-phenylpropionic",    23,         2.19E-05,         1,         2
4,   "trimethylacetic",         23.6,       9.40E-06,         1,         2
5,   "crotonic",                28.7,       2.30E-05,         1,         2
6,   "phenylacetic",            33,         4.88E-05,         1,         2
7,   "cinnamic",                40.5,       3.80E-05,         1,         2
8,   "formic",                  43.5,       1.77E-04,         1,         2
9,   "beta-chloropropionic",    43.9,       1.04E-04,         1,         2
10,  "diphenylacetic",          44.2,       1.15E-04,         1,         2
11,  "glycollic",               56.6,       1.54E-04,         1,         2
12,  "phenoxyacetic",           92,         7.60E-04,         1,         2
13,  "bromoacetic",             129,        1.38E-03,         1,         2
14,  "chloroacetic",            146,        1.51E-03,         1,         2
15,  "cyanacetic",              218,        3.56E-03,         1,         2
16,  "phenylpropionic",         225,        5.90E-03,         1,         2
17,  "dichloroacetic",          773,        5.00E-02,         1,         2
18,  "o-methoxybenzoic",        27.6,       8.20E-05,         1,         2
19,  "o-toluic",                38.3,       1.22E-04,         1,         2
20,  "p-hydroxybenzoic",        38.8,       2.85E-05,         1,         2
21,  "p-methoxybenzoic",        40.1,       3.38E-05,         1,         2
22,  "m-hydroxybenzoic",        47.6,       8.33E-05,         1,         2
23,  "p-toluic",                50.4,       4.33E-05,         1,         2
24,  "m-toluic",                57.2,       5.32E-05,         1,         2
25,  "benzoic",                 59.2,       6.60E-05,         1,         2
26,  "p-chlorobenzoic",         77.1,       1.04E-04,         1,         2
27,  "o-chlorobenzoic",         85.1,       1.20E-03,         1,         2
28,  "m-chlorobenzoic",         101,        1.50E-03,         1,         2
29,  "m-nitrobenzoic",          152,        3.48E-04,         1,         2
30,  "p-nitrobenzoic",          159,        3.93E-04,         1,         2
31,  "o-nitrobenzoic",          221,        6.50E-03,         1,         2
32,  "salicylic",               250,        1.06E-03,         1,         2
33,  "thymol",                  0.0112,     3.20E-11,         1,         1
34,  "hydroquinone",            0.013,      4.50E-11,         1,         1
35,  "phenol",                  0.0181,     1.06E-10,         1,         1
36,  "resorcinol",              0.026,      1.55E-10,         2,         1
37,  "pyrocatechol",            0.049,      1.40E-10,         2,         1
38,  "p-chlorophenol",          0.061,      6.60E-10,         1,         1
39,  "o-chlorophenol",          0.112,      3.20E-09,         1,         1
40,  "m-nitrophenol",           0.16,       5.30E-09,         1,         1
41,  "2,4-dichlorophenol",      0.225,      1.80E-08,         1,         1
42,  "o-nitrophenol",           0.334,      6.80E-08,         1,         1
43,  "p-nitrophenol",           0.52,       6.75E-08,         1,         1
44,  "2,4,6-trichlorophenol",   1.53,       3.90E-07,         1,         1
45,  "pentachlorophenol",       24,         5.50E-06,         1,         1
46,  "2,6-dinitrophenol",       91,         2.60E-04,         1,         1
47,  "2,4-dinitrophenol",       183,        8.10E-05,         1,         1
48,  "benzophenone oxime",      0.053,      5.00E-12,         1,         1
49,  "acetophenone oxime",      0.066,      3.30E-12,         1,         1
50,  "diethyl ketoxime",        0.104,      2.50E-13,         1,         1
51,  "acetoxime",               0.118,      3.80E-13,         1,         1
52,  "chloral hydrate",         0.033,      1.00E-11,         2,         1
53,  "benzoylacetone (enol)",   0.0088,     5.90E-09,         1,         2
54,  "dimedone",                1.4,        5.90E-06,         1,         2
55,  "phthalimide",             0.126,      5.00E-09,         1,         1
56,  "violuric",                17.3,       2.70E-05,         1,         1
57,  "nitrourea",               23.2,       7.00E-05,         1,         1
58,  "nitrourethane",           36.1,       5.30E-04,         1,         1
59,  "saccharine",              2220,       2.50E-02,         1,         1
60,  "nitromethane",            0.00084,    5.80E-10,         3,         1
61,  "1-nitropropane",          0.0026,     1.05E-09,         2,         1
62,  "nitroethane",             0.0028,     2.50E-09,         2,         1
63,  "2-nitropropane",          0.0038,     1.80E-08,         1,         1
