# data from "Bioreversible Derivatives of Phenol. 2. Reactivity of Carbonate 
# Esters with Fatty Acid-like Structures Towards Hydrolysis in Aqueous Solutions."
# J. Ostergaard, C. Larsen,  Molecules, 2007, 12, 2396-2412. 
# https://doi.org/10.3390/12102396
#
# Data for compound 1
# phenyl ethyl carbonate
#
pH,        log(k /s)
0.42682926829268286, -6.211604095563139
0.8252032520325208, -6.552901023890785
1.1382113821138211, -6.771331058020477
2.16260162601626, -7.15358361774744
3.044715447154472, -7.235494880546075
4.012195121951221, -7.071672354948806
5.008130081300813, -7.139931740614334
6.032520325203253, -6.948805460750854
7.398373983739839, -6.061433447098976
8.308943089430896, -5.26962457337884
9.788617886178864, -3.6587030716723543
11.495934959349595, -2.0068259385665526
12.491869918699187, -0.9965870307167235
