,Source,t (°C),ρw (g cm-3),pKw(exp.),u[pKw(exp.)],pKw(fit),ΔpKw,Diff.
90,Harned and Robinson (1940)49  ,0.0,0.9998,14.944,0.001,14.947,-0.003,-0.002
92,Harned and Robinson (1940)49  ,10.0,0.9997,14.535,0.001,14.534,0.001,0.0
93,Harned and Robinson (1940)49  ,15.0,0.9991,14.346,0.001,14.344,0.002,-0.001
94,Harned and Robinson (1940)49  ,20.0,0.9982,14.167,0.001,14.165,0.002,-0.001
95,Harned and Robinson (1940)49  ,25.0,0.997,13.997,0.001,13.994,0.002,-0.001
96,Harned and Robinson (1940)49  ,30.0,0.9956,13.833,0.001,13.833,0.0,0.001
97,Harned and Robinson (1940)49  ,35.0,0.994,13.68,0.001,13.68,0.0,0.001
98,Harned and Robinson (1940)49  ,40.0,0.9922,13.535,0.001,13.534,0.0,0.001
99,Harned and Robinson (1940)49  ,45.0,0.9902,13.396,0.001,13.396,0.0,0.001
100,Harned and Robinson (1940)49  ,50.0,0.988,13.262,0.001,13.265,-0.003,-0.002
101,Harned and Robinson (1940)49  ,55.0,0.9857,13.137,0.001,13.14,-0.003,-0.002
102,Harned and Robinson (1940)49  ,60.0,0.9832,13.017,0.001,13.021,-0.004,-0.003
262,Ackermann (1958)61  ,0.0,0.9998,14.955,0.005,14.947,0.008,-0.003
263,Ackermann (1958)61  ,10.0,0.9997,14.534,0.005,14.534,0.0,0.005
264,Ackermann (1958)61  ,20.0,0.9982,14.161,0.005,14.165,-0.004,0.001
265,Ackermann (1958)61  ,25.0,0.997,13.999,0.005,13.994,0.005,0.0
266,Ackermann (1958)61  ,30.0,0.9956,13.833,0.005,13.833,0.0,0.005
267,Ackermann (1958)61  ,40.0,0.9922,13.533,0.005,13.534,-0.001,0.004
268,Ackermann (1958)61  ,50.0,0.988,13.263,0.005,13.265,-0.002,0.003
269,Ackermann (1958)61  ,60.0,0.9832,13.015,0.005,13.021,-0.006,-0.001
270,Ackermann (1958)61  ,70.0,0.9778,12.8,0.005,12.8,0.0,0.005
271,Ackermann (1958)61  ,80.0,0.9718,12.598,0.005,12.6,-0.002,0.003
272,Ackermann (1958)61  ,90.0,0.9653,12.422,0.005,12.418,0.004,0.001
273,Ackermann (1958)61  ,100.0,0.9583,12.259,0.005,12.254,0.005,0.0
