# https://www.vip-ltd.co.uk/Expansion/Density_Of_Water_Tables.pdf
#
"temp degC", "d g/cm"
0,   999.82       
1,   999.89       
2,   999.94       
3,   999.98       
4,   1000.00      
5,   1000.00      
6,   999.99       
7,   999.96       
8,   999.91       
9,   999.85       
10,  999.77      
11,  999.68      
12,  999.58      
13,  999.46      
14,  999.33      
15,  999.19      
16,  999.03      
17,  998.86      
18,  998.68      
19,  998.49      
20,  998.29      
21,  998.08      
22,  997.86      
23,  997.62      
24,  997.38      
25,  997.13      
26,  996.86      
27,  996.59      
28,  996.31      
29,  996.02      
30,  995.71      
31,  995.41      
32,  995.09      
33,  994.76
34,  994.43
35,  994.08
36,  993.73
37,  993.37
38,  993.00
39,  992.63
40,  992.25
41,  991.86
42,  991.46
43,  991.05
44,  990.64
45,  990.22
46,  989.80
47,  989.36
48,  988.92
49,  988.47
50,  988.02
51,  987.56
52,  987.09
53,  986.62
54,  986.14
55,  985.65
56,  985.16
57,  984.66
58,  984.16
59,  983.64
60,  983.13
61,  982.60
62,  982.07
63,  981.54
64,  981.00
65,  980.45
66,  979.90
67,  979.34
68,  978.78
69,  978.21
70,  977.63
71,  977.05
72,  976.47
73,  975.88
74,  975.28
75,  974.68
76,  974.08
77,  973.46
78,  972.85
79,  972.23
80,  971.60
81,  970.97
82,  970.33
83,  969.69
84,  969.04
85,  968.39
86,  967.73
87,  967.07
88,  966.41
89,  965.74
90,  965.06
91,  964.38
92,  963.70
93,  963.01
94,  962.31
95,  961.62
96,  960.91
97,  960.20
98,  959.49
99,  958.78
100, 958.05
