Time_min,Abs_obs
1.000,0.682
2.000,0.607
3.000,0.495
4.000,0.422
5.000,0.437
6.000,0.367
7.000,0.283
8.000,0.249
9.000,0.230
10.000,0.216
11.000,0.184
12.000,0.093
13.000,0.122
14.000,0.105
15.000,0.125
16.000,0.099
17.000,0.002
18.000,0.043
19.000,0.096
20.000,0.027
21.000,0.018
22.000,0.044
23.000,0.123
24.000,-0.009
25.000,0.002
26.000,0.020
27.000,0.023
28.000,0.028
29.000,0.010
30.000,0.049
31.000,-0.014
32.000,-0.018
33.000,-0.065
34.000,-0.051
35.000,-0.022
36.000,0.020
37.000,-0.035
38.000,0.006
39.000,-0.030
40.000,0.012
