# Data for hydrolysis of benzylchloride by water in alcohol
#olivier1930.pdf
#Olivier, S.C.J. (1930), Sur un Parallélisme Entre la Mobilité de L'hydrogène du Noyau Benzénique et Celle du Chlore de la Chaîne Latérale: (Deuxième communication). Recl. Trav. Chim. Pays-Bas, 49: 697-704. https://doi.org/10.1002/recl.19300490803
#              48% EtOH 30deg    48% EtOH 83deg    50% Acetone 30deg    50% Acetone 60deg
#substituent   k (x 10^3) min^-1  k (x 10^3)         k (x 10^3)         k (x 10^3)
Substituent,   k_EtOH_30,         k_EtOH_83,         k_Acetone_30,      k_Acetone_60
H,             0.111,             15.5,              0.0225,            0.46
p-CH3,         1.04,              164,               0.173,             4.0
o-CH3,         0.55,              75,                0.098,             1.89
m-CH3,         0.144,             21.6,              0.0278,            0.55
p-Cl,          0.052,             9.6,               0.0126,            0.268
o-Cl,          ,                  5.5,               0.0061,            0.137
m-Cl,          0.0152,            3.68,              0.00399,           0.093
p-Br,          0.0457,            7.8,               0.0110,            0.234
o-Br,          0.0236,            4.44,              0.0055,            0.129
m-Br,          0.0147,            3.34,              0.00390,           0.093
p-I,           0.0414,            7.4,               0.0100 ,           0.215
o-I,           0.0248,            4.45,              0.0058 ,           0.123
m-I,           0.0152,            3.11,              0.00396,           0.089
m-COOH,        0.0189,            3.79,              0.0055 ,           0.132
p-COOH,        0.0121,            2.56,              0.00391,           0.086
m-NO2,         0.0063,            1.40,              0.00213,           0.051
o-NO2,         0.0052,            1.30,              0.00162,           0.045
p-NO2,         0.00491,           1.15,              0.00197,           0.046
