## 
## from table I in 
## "Mechanism of cyclodehydration of 2-phenyltriarylcarbinols", H. Hart, E.A. Sedor, J. Am. Chem. Soc., 1967, 89, 2342-2347. https://doi.org/10.1021/ja00986a018
##
## Author dS is from table 1 in the paper
##
## Exp dS is delta S calculated using "TableVIIIDataExpEditted.csv" data set
##
## Edited dS is delta S calculated using "TableVIIIDataXtraPointsEditted.csv" data set
##
## See "EryingPlots.ipynb" notebook
##
 Reactant,     sum_sigma_plus,  Edited dS,      Exp dS,       Author dS
        1,      0.22,           -2.1,           -2.1,         1.6
        2,      0.43,            2.8,           57.8,         4.4
        3,      0.37,           -1.7,           -5.4,         2.7
        4,      0.11,           -4.8,           -4.8,        -0.8
        5,      0.12,          -10.4,          -11.4,         4.3
        6,      0,             -13.1,          -13.1,        -2.6
        7,     -0.07,           -3.2,           -9.6,         1.4
        8,     -0.31,           -1.3,           -4.1,        -1.0
        9,     -0.78,          -21.1,          -21.1,       -16.7
       10,     -0.62,          -14.7,          -12.1,       -12.3
       11,     -1.09,          -24.4,          -17.1,       -16.7
       12,     -1.56,          -14.9,          -19.3,        -4.9
