# data for base hydrolysis of substituted esters
#
# from table 1 of chapter 2, page 46; and table 1 of Appendix 1, page 259
# `Free Energy Relationships in Organic and Bio-organic Chemistry'' by Andrew Williams
# The Royal Society of Chemistry, Cambridge, 2003
# https://doi.org/10.1039/9781847550927
# We have access to the E-textbook version via the UPEI library.
# https://ebookcentral.proquest.com/lib/upei/detail.action?docID=1185543
#
# Units for rate constants are 10^-3 M^-1 s^-1
#
Substituent, Substituent2,      sigma,           k(OH)X1000
m-OCH3,          3-MeO,          0.11,           3.92
p-N(CH3)2,       4-NMe2,        -0.83,           0.0634
p-Cl,            4-Cl,           0.23,          11.7
m-Cl,            3-Cl,           0.37,          18.2
p-Br,            4-Br,           0.23,          13.9
m-Br,            3-Br,           0.39,          17.9
p-I,             4-I,            0.18,          12.2
m-I,             3-I,            0.35,          15.0
p-F,             4-F,            0.06,           5.86
p-CN,            4-CN,           0.66,         157
m-CN,            3-CN,           0.56,         103
m-NO2,           3-NO2,          0.72,         137
p-NO2,           4-NO2,          0.78,         246
p-NH2,           4-NH2,         -0.66,           0.0864
m-NH2,           3-NH2,         -0.16,           1.66
H,               H,              0,              2.89
m-CH3,           3-Me,          -0.07,           1.69
p-CH3,           4-Me,          -0.17,           1.14
o-CN,            2-CN,           1.06,         122
o-OCH3,           2-MeO,         0.12,           1.16
o-CH3,           2-Me,           0.29,           0.338
o-Cl,            2-Cl,           1.26,           4.40
o-NO2,           2-NO2,          2.03,          16.9
o-Br,            2-Br,           1.35,           3.00
o-I,             2-I,            1.34,           1.63
