# data for base hydrolysis of substituted esters
# RAW DATA FROM PAPER
#
# from table 1 of chapter 2, page 46; and table 1 of Appendix 1, page 259
# `Free Energy Relationships in Organic and Bio-organic Chemistry'' by Andrew Williams
# The Royal Society of Chemistry, Cambridge, 2003
# https://doi.org/10.1039/9781847550927
# We have access to the E-textbook version via the UPEI library.
# https://ebookcentral.proquest.com/lib/upei/detail.action?docID=1185543
#
# Original raw data from "Kinetic Studies of the Hydrolysis of Esters. I. Alkaline
# Hydrolysis of Esters of Substituted Benzoic Acids", 
# E. Tommila, , Ann. Acad. Sci. Fennicae, 1941, Ser A57, 3.
# Interlibrary loan
#
# NOT COMPLETE YET
#
# Units for rate constants are 10^-3 M^-1 s^-1
#                                                 k(OH)X1000 at four temperatures
Substituent, Substituent2,      sigma,         T_1,            k_1,           T_2,         k_2,       T_3,        k_3,       T_4,    k_4       
m-OCH3,          3-MeO,          0.11,              0,        0.423,         15.0,        1.71,       25.0,      3.97,      40.0,  12.4
p-N(CH3)2,       4-NMe2,        -0.83,              ,              ,             ,           ,           ,           ,          ,
p-Cl,            4-Cl,           0.23,              ,              ,             ,           ,           ,           ,          ,
m-Cl,            3-Cl,           0.37,              ,              ,             ,           ,           ,           ,          ,
p-Br,            4-Br,           0.23,              ,              ,             ,           ,           ,           ,          ,
m-Br,            3-Br,           0.39,              ,              ,             ,           ,           ,           ,          ,
p-I,             4-I,            0.18,              ,              ,             ,           ,           ,           ,          ,
m-I,             3-I,            0.35,              ,              ,             ,           ,           ,           ,          ,
p-F,             4-F,            0.06,             0,        0.650,         15.0,        2.56,       25.0,      5.89,      40.0,  18.4
p-CN,            4-CN,           0.66,              ,              ,             ,           ,           ,           ,          ,
m-CN,            3-CN,           0.56,              ,              ,             ,           ,           ,           ,          ,
m-NO2,           3-NO2,          0.72,              ,              ,             ,           ,           ,           ,          ,
p-NO2,           4-NO2,          0.78,              ,              ,             ,           ,           ,           ,          ,
p-NH2,           4-NH2,         -0.66,              ,              ,             ,           ,           ,           ,          ,
m-NH2,           3-NH2,         -0.16,              ,              ,             ,           ,           ,           ,          ,
H,               H,              0,                 ,              ,             ,           ,           ,           ,          ,
m-CH3,           3-Me,          -0.07,              ,              ,             ,           ,           ,           ,          ,
p-CH3,           4-Me,          -0.17,              ,              ,             ,           ,           ,           ,          ,
o-CN,            2-CN,           1.06,              ,              ,             ,           ,           ,           ,          ,
o-OCH3,           2-MeO,         0.12,              0,        0.112,         15.0,      0.493,       25.0,      1.16,      40.0,  3.87
o-CH3,           2-Me,           0.29,              ,              ,             ,           ,           ,           ,          ,
o-Cl,            2-Cl,           1.26,              ,              ,             ,           ,           ,           ,          ,
o-NO2,           2-NO2,          2.03,              ,              ,             ,           ,           ,           ,          ,
o-Br,            2-Br,           1.35,              ,              ,             ,           ,           ,           ,          ,
o-I,             2-I,            1.34,              ,              ,             ,           ,           ,           ,          ,
