"Substituent", "sigma_n",   "sigma_r",   "sigma_I",   "sigma_R+"
"p-OCH3",       -0.13,       -0.66,        0.27,      -1.02   
"m-OCH3",        0.12,           0,        0.12,        0     
"p-CH3",        -0.12,       -0.20,       -0.04,      -0.25   
"m-CH3",        -0.07,           0,       -0.07,          0   
"p-Br",          0.28,       -0.14,        0.44,      -0.30   
"m-Br",          0.39,           0,        0.39,         0    
"p-CN",          0.66,           0,        0.56,         0    
"m-CN",          0.56,           0,        0.56,         0   
"p-NO2",         0.78,           0,        0.65,       0.15   
"m-NO2",         0.71,           0,        0.71,         0    
"H",             0.0,              0.0,        0.0,            0.0   
