# Kw for H2O and D2O at temp
# from CRC handbook
# https://hbcp-chemnetbase-com.proxy.library.upei.ca/contents/InteractiveTable.xhtml?dswid=9797
#
"Row", "Temp (degC)", "Kw H2O", "Kw D2O"
1,      0,     14.947,    15.972
2,      5,     14.734,    15.743
3,      10,    14.534,    15.527
4,      15,    14.344,    15.324
5,      20,    14.165,    15.132
6,      25,    13.995,    14.951
7,      30,    13.833,    14.779
8,      35,    13.680,    14.616
9,      40,    13.535,    14.462
10,     45,    13.396,    14.316
11,     50,    13.265,    14.176
12,     55,    13.140,    14.044
13,     60,    13.020,    13.918
14,     65,    12.907,    13.798
15,     70,    12.799,    13.683
