# pH-rate profile for aspirin hydrolysis
#
# data is from "The hydrolysis of aspirin. A determination of the thermodynamic dissociation constant and a study of the reaction kinetics by ultra-violet spectrophotometry" L. J. Edwards, Trans. Faraday Soc., 1950,46, 723-735, https://doi.org/10.1039/TF9504600723
# from table 3 in the paper
#
# Reactions in a variety of buffers, 17 deg C
# k_obs is days^-1
#
pH, k_obs
0.53, 0.578
1.33, 0.0835
1.00, 0.190
1.80, 0.0450
2.48, 0.0267
2.99, 0.0343
3.53, 0.0561
4.04, 0.0880
4.49, 0.125
5.03, 0.130
5.64, 0.130
6.04, 0.120
6.21, 0.113
6.64, 0.110
6.98, 0.107
7.40, 0.108
7.75, 0.116
8.10, 0.134
8.19, 0.154
9.48, 0.321
10.52, 1.97
11.29, 13.7
12.00, 58.0
12.21, 121
12.48, 273
12.66, 476
12.77, 530
3.15, 0.041
