
# From CRC handbook 105 ed.
# Tab delimited
# https://hbcp-chemnetbase-com.proxy.library.upei.ca/contents/InteractiveTable.xhtml?dswid=9797
# https://hbcp-chemnetbase-com.proxy.library.upei.ca/documents/26_06/26_06_0001.xhtml?dswid=9797
# found at https://library.upei.ca/chem
# search water and density
# temp in degree Celsius, density in g/cm^3
row	temp	density
1	0.1	0.9998495
2	0.2	0.9998560
3	0.3	0.9998624
4	0.4	0.9998685
5	0.5	0.9998745
6	0.6	0.9998803
7	0.7	0.9998859
8	0.8	0.9998913
9	0.9	0.9998966
10	1.0	0.9999017
11	1.1	0.9999066
12	1.2	0.9999113
13	1.3	0.9999158
14	1.4	0.9999202
15	1.5	0.9999244
16	1.6	0.9999285
17	1.7	0.9999323
18	1.8	0.9999360
19	1.9	0.9999396
20	2.0	0.9999429
21	2.1	0.9999461
22	2.2	0.9999491
23	2.3	0.9999519
24	2.4	0.9999546
25	2.5	0.9999571
26	2.6	0.9999595
27	2.7	0.9999616
28	2.8	0.9999636
29	2.9	0.9999655
30	3.0	0.9999672
31	3.1	0.9999687
32	3.2	0.9999700
33	3.3	0.9999712
34	3.4	0.9999722
35	3.5	0.9999731
36	3.6	0.9999738
37	3.7	0.9999743
38	3.8	0.9999747
39	3.9	0.9999749
40	4.0	0.9999749
41	4.1	0.9999748
42	4.2	0.9999746
43	4.3	0.9999742
44	4.4	0.9999736
45	4.5	0.9999728
46	4.6	0.9999719
47	4.7	0.9999709
48	4.8	0.9999697
49	4.9	0.9999683
50	5.0	0.9999668
51	5.1	0.9999651
52	5.2	0.9999633
53	5.3	0.9999613
54	5.4	0.9999592
55	5.5	0.9999569
56	5.6	0.9999544
57	5.7	0.9999518
58	5.8	0.9999491
59	5.9	0.9999462
60	6.0	0.9999431
61	6.1	0.9999400
62	6.2	0.9999366
63	6.3	0.9999331
64	6.4	0.9999295
65	6.5	0.9999257
66	6.6	0.9999217
67	6.7	0.9999176
68	6.8	0.9999134
69	6.9	0.9999090
70	7.0	0.9999045
71	7.1	0.9998998
72	7.2	0.9998950
73	7.3	0.9998900
74	7.4	0.9998849
75	7.5	0.9998797
76	7.6	0.9998743
77	7.7	0.9998687
78	7.8	0.9998631
79	7.9	0.9998572
80	8.0	0.9998513
81	8.1	0.9998452
82	8.2	0.9998389
83	8.3	0.9998325
84	8.4	0.9998260
85	8.5	0.9998193
86	8.6	0.9998125
87	8.7	0.9998056
88	8.8	0.9997985
89	8.9	0.9997912
90	9.0	0.9997839
91	9.1	0.9997764
92	9.2	0.9997687
93	9.3	0.9997610
94	9.4	0.9997530
95	9.5	0.9997450
96	9.6	0.9997368
97	9.7	0.9997285
98	9.8	0.9997200
99	9.9	0.9997114
100	10.0	0.9997027
101	10.1	0.9996938
102	10.2	0.9996848
103	10.3	0.9996757
104	10.4	0.9996665
105	10.5	0.9996571
106	10.6	0.9996475
107	10.7	0.9996379
108	10.8	0.9996281
109	10.9	0.9996182
110	11.0	0.9996081
111	11.1	0.9995979
112	11.2	0.9995876
113	11.3	0.9995772
114	11.4	0.9995666
115	11.5	0.9995559
116	11.6	0.9995451
117	11.7	0.9995341
118	11.8	0.9995230
119	11.9	0.9995118
120	12.0	0.9995005
121	12.1	0.9994890
122	12.2	0.9994774
123	12.3	0.9994657
124	12.4	0.9994539
125	12.5	0.9994419
126	12.6	0.9994298
127	12.7	0.9994176
128	12.8	0.9994052
129	12.9	0.9993927
130	13.0	0.9993801
131	13.1	0.9993674
132	13.2	0.9993546
133	13.3	0.9993416
134	13.4	0.9993285
135	13.5	0.9993153
136	13.6	0.9993020
137	13.7	0.9992885
138	13.8	0.9992749
139	13.9	0.9992612
140	14.0	0.9992474
141	14.1	0.9992335
142	14.2	0.9992194
143	14.3	0.9992052
144	14.4	0.9991909
145	14.5	0.9991765
146	14.6	0.9991619
147	14.7	0.9991473
148	14.8	0.9991325
149	14.9	0.9991176
150	15.0	0.9991026
151	15.1	0.9990874
152	15.2	0.9990722
153	15.3	0.9990568
154	15.4	0.9990413
155	15.5	0.9990257
156	15.6	0.9990100
157	15.7	0.9989942
158	15.8	0.9989782
159	15.9	0.9989621
160	16.0	0.9989459
161	16.1	0.9989296
162	16.2	0.9989132
163	16.3	0.9988967
164	16.4	0.9988800
165	16.5	0.9988633
166	16.6	0.9988464
167	16.7	0.9988294
168	16.8	0.9988123
169	16.9	0.9987951
170	17.0	0.9987778
171	17.1	0.9987603
172	17.2	0.9987428
173	17.3	0.9987251
174	17.4	0.9987073
175	17.5	0.9986895
176	17.6	0.9986715
177	17.7	0.9986534
178	17.8	0.9986351
179	17.9	0.9986168
180	18.0	0.9985984
181	18.1	0.9985798
182	18.2	0.9985611
183	18.3	0.9985424
184	18.4	0.9985235
185	18.5	0.9985045
186	18.6	0.9984854
187	18.7	0.9984662
188	18.8	0.9984469
189	18.9	0.9984275
190	19.0	0.9984079
191	19.1	0.9983883
192	19.2	0.9983686
193	19.3	0.9983487
194	19.4	0.9983287
195	19.5	0.9983087
196	19.6	0.9982885
197	19.7	0.9982682
198	19.8	0.9982478
199	19.9	0.9982273
200	20.0	0.9982067
201	20.1	0.9981860
