"x",         "Diacid",          "Acetal"
0,          -2.94733,       
0.28,       -3.28922,       
0.55,       -3.63732,       -3.88375
1.0,        -3.87159,       -4.21124
1.1,          ,             -4.43705
1.25,       -4.15755,       -4.47649
1.5,        -4.166,         -4.79559
1.9,        -4.16829,       -5.09404
2.0,          ,             -5.25767
2.25,       -4.07323,       
2.6,        -3.89117,       -5.33259
3.4,        -3.47537,       -5.41382
3.7,        -3.25397,       -5.43888
4.1,        -3.103,         -5.46189
4.4,        -3.08245,       -5.39163
4.75,       -3.17588,       -5.21998
5.1,        -3.40598,       -5.22434
5.6,        -3.75832,       -4.945
6.0,        -4.07337,       -4.54764
6.5,        -4.61007,       -4.13581
6.9,        -5.02037,       -3.76534
