# Data from figure 1 of...
# ``Concerted general acid and nucleophilic catalysis of acetalhydrolysis. 
# A simple model for the lysozyme mechanism''. 
# K.E.S. Deana, A.J. Kirby, 
# J. Chem. Soc., Perkin Trans. 2, 2002, 428-432. 
# https://doi.org/10.1039/B110948K
# 
# rates reported  in units of 1E-5 s^-1
# multiply all rates by 1E-5
# 
"pH",        "k_1",       "k_2"
0,          113,                                
0.28,        51.4,                               
0.55,        23.1,        13.1     
1.0,         13.4,         6.15     
1.1,            ,          3.66     
1.25,         6.96,        3.34     
1.5,          6.82,        1.60     
1.9,          6.79,        0.805     
2.0,            ,          0.552     
2.25,         8.45,                
2.6,         12.9,         0.465     
3.4,         33.5,         0.386     
3.7,         55.7,         0.364     
4.1,         78.9,         0.345     
4.4,         82.7,         0.406     
4.75,        66.7,         0.603     
5.1,         39.3,         0.597     
5.6,         17.4,         1.14     
6.0,          8.45,        2.83     
6.5,          2.45,        7.31     
6.9,          0.954,      17.2      
