pH,k1 value,k1 stdev,k2 value,k2 stdev
0.0,0.0010439508698011357,5.062271203442653e-05,0.0006730817612480289,1.5999264942937984e-05
0.28,0.0005278886222918056,1.2863390572745416e-05,0.0002842264256844862,2.986434504581334e-06
0.55,0.00023338309852538597,5.1714456408915756e-06,0.00013018088952476692,1.2791604138666767e-06
1.0,0.00013213371463705048,1.6357805001942487e-06,6.201862687083004e-05,3.0954198624220124e-07
1.25,6.844772208725036e-05,6.477271488268111e-07,3.353167559871917e-05,1.3123960993510506e-07
1.5,6.781536965105861e-05,6.572494992419841e-07,1.6050580268767156e-05,5.3001214064889435e-08
1.9,6.744994310625696e-05,5.284909745585097e-07,8.02206214400858e-06,3.325610987409874e-08
2.25,8.584345678197547e-05,7.758451599844626e-07,5.4150715315115505e-06,3.408425867020186e-08
2.6,0.00013027121609721082,9.388682274717672e-07,4.622674544152439e-06,2.1508033712729514e-08
3.4,0.00033637731924518466,4.764544644265552e-06,3.840252820075385e-06,2.466451919090526e-08
3.7,0.0005599759379376623,7.961790933897924e-06,3.6365346257616338e-06,1.8706301807644634e-08
4.1,0.00078039633954885,1.5255612816713602e-05,3.432777124889874e-06,2.1361015330861548e-08
4.4,0.0008255031386520395,1.205938476472608e-05,4.052933692766381e-06,1.5804634371237386e-08
4.75,0.0006597678620733349,9.725743594442701e-06,6.00788277782538e-06,1.927026635519085e-08
5.1,0.0004004591654803713,4.869471926543945e-06,5.9335908196844755e-06,2.064957590565642e-08
5.6,0.00017681835541549784,1.6586269283665848e-06,1.137702247733241e-05,3.0150763908613656e-08
6.0,8.321045775516733e-05,1.1165892937078864e-06,2.8406936695257734e-05,1.369804910363921e-07
6.5,2.5074560988547212e-05,2.7302128355176006e-07,7.206302927798003e-05,7.575313467849358e-07
6.9,9.530868181228946e-06,1.1045206991122572e-07,0.00017278056971725686,5.3970337645526156e-06
