pH,log_k1 value,log_k1 stdev,log_k2 value,log_k2 stdev
0.0,-2.9813199395294916,0.021059577736371377,-3.171932177526256,0.01032325176415818
0.28,-3.277457698349748,0.010582723908797574,-3.5463355464106985,0.004563235183998345
0.55,-3.631930598517637,0.009623363129092942,-3.8854527652541995,0.004267387565407387
1.0,-3.8789863556432604,0.005376451020021309,-4.207477853529571,0.002167612914461179
1.25,-4.1646410004357435,0.004109769002331904,-4.474544744063115,0.0016997849759744319
1.5,-4.1686718666317315,0.004209072843268258,-4.794509262139596,0.0014340998529097117
1.9,-4.17101841231749,0.0034028303570969387,-5.095713978019359,0.001800403032115165
2.25,-4.066292802329268,0.003925113042085067,-5.266395802097652,0.0027335937067667453
2.6,-3.885151532645732,0.0031299722428402158,-5.335106681654754,0.0020206528209612824
3.4,-3.473173294856203,0.006151471366826891,-5.415640183249831,0.0027893123409507034
3.7,-3.2518306341463674,0.006174840085797608,-5.439312272878573,0.0022340069566023704
4.1,-3.1076847763322166,0.008489825142160266,-5.464354392488202,0.0027024682199085514
4.4,-3.0832812711635706,0.006344402599148121,-5.392230501390612,0.001693554846006338
4.75,-3.180608843177091,0.006402004429556612,-5.2212785496124505,0.0013929982744927186
5.1,-3.397441762003509,0.005280899951295698,-5.226682405926196,0.0015113945571908862
5.6,-3.7524726531134416,0.004073856024921553,-4.94397138388676,0.0011509435282181912
6.0,-4.079822088854099,0.0058277358626773156,-4.546575596550733,0.0020942022726242846
6.5,-4.600766661973366,0.004728762228093643,-4.142287485607026,0.004565332419046181
6.9,-5.0175,0.0024,-3.783,0.023
