### Hydrolysis rates. See Figure 1 and table 1
###
Substituent,  %H2SO4_paper,  %H2SO4_Figure,  log_k_Figure
p-OCH3,       ,              60.728,         -3.0938
p-OCH3,       70.1,          70.177,         -4.000
p-OCH3,       79.3,          79.227,         -5.3393
H,            ,              50.486,         -2.2366
H,            ,              54.238,         -2.3929
H,            ,              60.817,         -2.7946
H,            ,              65.717,         -3.1741
H,            70.1,          70.309,         -3.7054
H,            73.9,          74.018,         -4.2008
H,            79.3,          79.404,         -5.0045
p-NO2,        ,              60.817,         -2.4286
p-NO2,        70.1,          70.221,         -3.1027
p-NO2,        85.8,          85.850,         -5.1071
