### Rearrangements rates. See Figure 1 and table 1
### Values should be identical with those from Table 1 for 80 deg C
###
Substituent, %H2SO4_paper, %H2SO4_Figure, log_k_Figure
p-OCH3,      70.1,          70.177,       -4.4107
p-OCH3,      79.3,          79.272,       -3.9911
p-OCH3,      82.3,          82.406,       -3.8482
p-OCH3,      85.8,          85.850,       -3.5982
p-OCH3,      91.8,          91.898,       -3.2411
H,           70.1,          70.177,       -5.0938
H,           73.9,          73.929,       -4.7723
H,           79.3,          78.344,       -4.4241
H,           85.8,          85.894,       -3.9777
H,           91.7,          91.854,       -3.5625
H,           94.8,          94.857,       -3.2634
H,           95.2,          95.342,       -3.2232
H,           98.2,          98.300,       -2.7902
p-NO2,       85.8,          85.762,       -5.4955
p-NO2,       91.8,          91.854,       -4.9241
p-NO2,       95.2,          95.166,       -4.6205
p-NO2,       98.2,          98.256,       -4.0625
p-CH3,       70.1,          70.177,       -4.7098
p-CH3,       79.3,          79.316,       -4.1205
p-CH3,       85.8,          85.894,       -3.7232
p-CH3,       91.8,          91.810,       -3.3214
p-CH3,       98.2,          98.300,       -2.5625
m-F,         85.8,          85.938,       -4.5491
m-F,         90.4,          90.486,       -4.1786
m-F,         94.8,          94.857,       -3.7723
m-F,         98.2,          98.344,       -3.2143

