### BECKMANN REARRANGEMENT DATA
### Data exctracted from Figure 3 in
### "Kinetics and mechanism of the Beckmann rearrangement of acetophenone oximes in sulphuric acid." Gregory, B. J., Moodie, R. B., & Schofield, K., Journal of the Chemical Society B: Physical Organic, 1970, 338-346. https://doi.org/10.1039/j29700000338 
###
### in 98.2% sulfuric acid. temp = 80 deg C 
### see 21-Beckmann_4.csv for data from data Table 1 in paper
### plot was for sigma-plus
###
"Substituent",   "sigma",    "log(kobs /s-1)"
p-OCH3,           -0.785,      -2.394
p-CH3,            -0.312,      -2.547
m-CH3,            -0.072,      -2.655
H,                -0.003,      -2.763
p-F,              -0.075,      -2.857
p-I,               0.132,      -2.893
p-Cl,              0.107,      -2.929
p-Br,              0.156,      -2.929
m-I,               0.354,      -3.055
m-Br,              0.402,      -3.135
m-Cl,              0.402,      -3.135
m-F,               0.351,      -3.196
m-NO2,             0.678,      -3.966
p-NO2,             0.791,      -4.047
m-N(CH3)3+,        0.363,      -3.976
