### BECKMANN REARRANGEMENT DATA
### Example 1 - Figures 6,7,8,9
###
### from "Hammett's Sigma Constants in Certain Electrophilic Reactions" D.E. Pearson, J.F. Baxter, and J.C. Martin, The Journal of Organic Chemistry 1952, 17, 1511-1518  https://doi.org/10.1021/jo50011a019
### from "The Question of Hyperconjugation or of Bulk Effect in the Beckmann Rearrangement." D.E. Pearson, J.D. Bruton, The Journal of Organic Chemistry, 1954, 19, 957-963.  https://doi.org/10.1021/jo01371a013 

### 0.52 M in 95% sulfuric acid. temp = 51 deg C 
###
#Name,                        Substituent,        k /10^-3 min^-1
Name,                         Substituent,      kobs,     ref
p-Methylacetophenone,         p-CH3,            2.101,    Pearson 1952            
p-tert-Butylacetophenone,     p-C(CH3)3,        2.012,    Pearson 1952                       
Acetophenone,                 H,                1.127,    Pearson 1952       
p-Chloroacetophenone,         p-Cl,             0.714,    Pearson 1952                  
p-Methoxyacetophenone,        p-OCH3,          13.29,     Pearson 1952                    
p-Nitroacetophenone,          p-NO2,            0.031,    Pearson 1952                  
m-Nitroacetophenone,          m-NO2,            0.0458,   Pearson 1954                 
m-Methylacetophenone,         m-CH3,            1.763,    Pearson 1954            
"3,5-dimethylacetophenone",   "3,5-CH3",        2.377,    Pearson 1954            
"3,4,5-dimethylacetophenone", "3,4,5-CH3",      3.729,    Pearson 1954            
