### BECKMANN REARRANGEMENT DATA
### Example 2 - Not Plotted
###
### from "Kinetics and mechanism of the Beckmann rearrangement of acetophenone oximes in sulphuric acid." Gregory, B. J., Moodie, R. B., & Schofield, K., Journal of the Chemical Society B: Physical Organic, 1970, 338-346. https://doi.org/10.1039/j29700000338 
### in 98.2% sulfuric acid. temp = 80 deg C 
###
#Name,                       Substituent,        k /10^-4 s^-1
Name,                        Substituent,      kobs
p-Methylacetophenone,        p-CH3,            28.2
Acetophenone,                H,                17.0
p-Chloroacetophenone,        p-Cl,             11.7
p-Methoxyacetophenone,       p-OCH3,           40
p-Nitroacetophenone,         p-NO2,             0.89
m-Nitroacetophenone,         m-NO2,             1.08
m-Methylacetophenone,        m-CH3,            22.1
m-Bromooacetophenone,        m-Br,              7.2
p-Bromooacetophenone,        p-Br,             11.7
m-Chloroacetophenone,        m-Cl,              7.2
m-Fluoroacetophenone,        m-F,               6.3
p-Fluoroacetophenone,        p-F,              13.8
m-Iodoacetophenone,          m-I,               8.8
p-Iodoacetophenone,          p-I,              12.3
m-trimethylammoniumacetophenone, m-N(CH3)3+,   1.04
