### BECKMANN REARRANGEMENT DATA
### Example 2 - Not Plotted
###
### from "Kinetics and mechanism of the Beckmann rearrangement of acetophenone oximes in sulphuric acid." Gregory, B. J., Moodie, R. B., & Schofield, K., Journal of the Chemical Society B: Physical Organic, 1970, 338-346. https://doi.org/10.1039/j29700000338 
### Collected data from table 3 - rearrangement step for ortho substituents 
###
#Name,      Substituent,        k /10^-4 s^-1
"Substituent", "Acid Conc",  "Acid",  "TempC",   "kobs"
#2,4,6-Trimethyl-acetophenone oxime,  
"3,4,5-CH3",  98.2,   H2SO4,      25.0,     140
"3,4,5-CH3",  94.8,   H2S04,      25.0,      59
"3,4,5-CH3",  91.8,   H2S04,      25.0,      29
"3,4,5-CH3",  89.8,   H2S04,      25.0,      19.2
"3,4,5-CH3",  87.3,   H2S04,      25.0,       9.6
"3,4,5-CH3",  85.8,   H2S04,      25.0,       7.0 
"3,4,5-CH3",  85.8,   H2S04,      33.4,      20.1
"3,4,5-CH3",  85.8,   H2S04,      40.5,      40
"3,4,5-CH3",  85.8,   H2S04,      48.0,      86
"3,4,5-CH3",  82.3,   H2S04,      25.0,       3.3
"3,4,5-CH3",  79.2,   H2S04,      25.0,       1.36
"3,4,5-CH3",  77.7,   H2S04,      25.0,       0.83
"3,4,5-CH3",  73.9,   H2S04,      25.0,       0.42
"3,4,5-CH3",  70.1,   H2S04,      25.0,       0.245
"3,4,5-CH3",  65.6,   H2S04,      25.0,       0.152
"3,4,5-CH3",  60.6,   H2S04,      25.0,       0.108
"3,4,5-CH3",  55.0,   H2S04,      25.0,       0.079
"3,4,5-CH3",  71.8,   HClO4,      25.0,       0.60 
"3,4,5-CH3",  71.8,   HClO4,      30.2,       1.23
"3,4,5-CH3",  71.8,   HClO4,      35.0,       2.46
"3,4,5-CH3",  69.1,   HClO4,      25.0,       0.45
"3,4,5-CH3",  65.8,   HClO4,      25.0,       0.38
"3,4,5-CH3",  62.1,   HClO4,      25.0,       0.267
"3,4,5-CH3",  58.9,   HClO4,      25.0,       0.202
"3,4,5-CH3",  55.4,   HClO4,      25.0,       0.133
"3,4,5-CH3",  51.7,   HClO4,      25.0,       0.105
#
# 1,2-Benzocyclooct-l-en-3-one oxime
Benzocyclo,   98.2,   H2S04,      25.0,      26.5
Benzocyclo,   94.8,   H2S04,      25.0,       9.4
Benzocyclo,   91.8,   H2S04,      25.0,       4.6
Benzocyclo,   89.8,   H2S04,      25.0,       2.80
Benzocyclo,   85.8,   H2S04,      25-0,       1.27
Benzocyclo,   83.3,   H2S04,      25.0,       0.66
Benzocyclo,   79.2,   H2S04,      25.0,       0.28
Benzocyclo,   75.3,   H2S04,      25.0,       0.105
#
# o-Methylacetophenone oxime
o-CH3,        98.2,   H2S04,      25.0,      3.7
o-CH3,        98.2,   H2S04,      33.1,      9.8
o-CH3,        98.2,   H2S04,      40.5,     22.2
o-CH3,        98.2,   H2S04,      52.3,     73
o-CH3,        94.8,   H2S04,      25.0,      1.37
o-CH3,        94.8,   H2S04,      40.5,      7.8
o-CH3,        91.8,   H2S04,      25.0,      0.60
o-CH3,        91.8,   H2S04,      40.5,      4.5
o-CH3,        89.8,   H2S04,      25.0,      0.36
o-CH3,        85.8,   H2S04,      25.0,      0.168
o-CH3,        85.8,   H2S04,      40.5,      1.40
o-CH3,        79.2,   H2S04,      40.5,      0.40
o-CH3,        73.9,   H2S04,      40.5,      0.156
o-CH3,        70.4,   H2S04,      40.5,      0.05  # approx
#
# o-Iodoacetophenone oxime
o-I,          98.2   H2S04,      25.0,       0.59
o-I,          94.8   H2S04,      25.0,       0.18
o-I,          91.8   H2S04,      25.0,       0.088
