### BECKMANN REARRANGEMENT DATA
### Example 2 - Not Plotted
###
### from "Kinetics and mechanism of the Beckmann rearrangement of acetophenone oximes in sulphuric acid." Gregory, B. J., Moodie, R. B., & Schofield, K., Journal of the Chemical Society B: Physical Organic, 1970, 338-346. https://doi.org/10.1039/j29700000338 
### Collected data from table 3 - disappearance of intermediate step for ortho substituents 
###
#Name,      Substituent,        k /10^-4 s^-1
"Substituent", "Acid Conc",  "Acid",  "TempC",   "kobs"
#2,4,6-Trimethyl-acetophenone oxime,  
"2,4,6-CH3",     91.8,       H2S04,    25.0,     0.054
"2,4,6-CH3",     87.0,       H2S04,    25.0,     0.54
"2,4,6-CH3",     85.8,       H2S04,    25.0,     0.86
"2,4,6-CH3",     85.8,       H2S04,    33.8,     2.38
"2,4,6-CH3",     85.8,       H2S04,    40.5,     4.8
"2,4,6-CH3",     85.8,       H2S04,    48.0,    11.8
"2,4,6-CH3",     84.7,       H2S04,    25.0,     1.42
"2,4,6-CH3",     81.9,       H2S04,    25.0,     5.3
"2,4,6-CH3",     77.4,       H2S04,    25.0,    33
"2,4,6-CH3",     71.8,       HClO4,    25.0,     0.198
"2,4,6-CH3",     71.8,       HC104,    30.2,     0.41
"2,4,6-CH3",     71.8,       HClO4,    35.0,     0.72
"2,4,6-CH3",     69.4,       HClO4,    25.0,     1.01
"2,4,6-CH3",     67.2,       HClO4,    25.0,     3.1
"2,4,6-CH3",     65.1,       HClO4,    25.0,    10.1
#
# 1,2-Benzocyclooct-l-en-3-one oxime
Benzocyclo,      91.8,       H2S04,    25.0,     0.50
Benzocyclo,      89.0,       H2S04,    25.0,     1.17
Benzocyclo,      86.3,       H2S04,    25.0,     4.1
Benzocyclo,      85.5,       H2S04,    25.0,     5.2
Benzocyclo,      83.2,       H2S04,    25.0,    16.2
#
# o-Methylacetophenone oxime
o-CH3,           96.1,       H2S04,    25.0,     0.20
o-CH3,           94.5,       H2S04,    25.0,     0.39
o-CH3,           92.6,       H2S04,    25.0,     0.79
o-CH3,           89.7,       H2S04,    25.0,     2.7
o-CH3,           87.8,       H2S04,    25.0,     6.8
o-CH3,           84.9,       H2S04,    25.0,    25.0
o-CH3,           84.7,       H2S04,    25.0,    25.4
