Substituent,%H2SO4,Ea (kcal/mol),Ea std err,logA,logA std err
H,98.2,26.623084707149154,0.37345281091595245,13.723261644427978,0.2348053432631158
H,91.7,27.010945521207873,0.25387523166239295,13.1487331171234,0.15749762811588144
H,79.3,29.58055387991442,0.07986155811147391,13.883936411220851,0.04880613107778115
p-Br,98.2,27.851178819167714,0.0,14.304735646758974,0.0
p-CH3,98.2,26.082452193960243,0.8936079618930793,13.612274274013691,0.5910556071045664
p-Cl,98.2,26.47738374171301,0.8569821992897284,13.427706071105417,0.5364650873875886
p-F,98.2,27.978931671557866,0.0,14.455492612834028,0.0
p-I,98.2,26.820887552515266,0.0,13.688827784651222,0.0
p-NO2,98.2,30.13497909834598,1.43269869761744,14.554510468725548,0.896859739507353
p-OCH3,85.8,27.901885935387163,0.987706577670222,13.644586284771833,0.6036212895930663
