pS+,"k(A,R)x10^5",BUFFER
0.10,106.51,HCl
0.18,99.55,HCl
0.25,93.96,HCl
0.29,89.74,HCl
0.33,86.15,HCl
0.40,79.09,HCl
0.49,70.13,HCl
0.58,61.06,HCl
0.71,51.14,HCl
0.80,44.61,HCl
0.89,38.38,HCl
1.11,24.57,HCl
1.21,20.56,Citrate
1.80,5.88,Citrate
2.30,2.15,Citrate
2.80,0.91,Citrate
3.60,0.63,Citrate
4.35,0.64,Citrate
6.20,0.64,Citrate
6.95,0.73,Citrate
7.48,0.75,Citrate
8.50,1.38,Citrate
9.16,2.60,Borate
9.60,6.94,Borate
9.88,13.18,Borate
10.19,22.36,Borate
10.45,42.71,Borate
10.79,79.41,Borate
11.10,166.61,Borate
11.45,344.83,Borate
11.70,583.15,Borate
11.81,712.85,Borate
11.97,999.68,Borate
12.10,1349.78,Borate
