### pH rate profile data for rate constant of rearrangement in 1:1 dioxane water
###
### Data from "On the Rearrangement in Dioxane/Water of (\textit{Z})-Arylhydrazones of 5-Amino-3-benzoyl-1,2,4-oxadiazole into (2-Aryl-5-phenyl-2\textit{H}-1,2,3-triazol-4-yl)ureas: Substituent Effects on the Different Reaction Pathways."
### F. D'Anna, V. Frenna, G. Macaluso, S. Marullo, S. Morganti, V. Pace, D. Spinelli, R. Spisani, C. Tavani, J. Org. Chem., 2006, 71, 5616-5624. https://doi.org/10.1021/jo0605849
### data sets are found in the supplementary material at https://ndownloader.figstatic.com/files/4775281
###
###
pS+,"k(A,R)x10^4",BUFFER
0.1,14.3,HCl
0.3,12.1,HCl
0.53,9.14,HCl
0.72,7.1,HCl
0.97,4.54,HCl
1.14,3.25,HCl
1.3,2.4,HCl
1.52,1.56,HCl
1.75,1.01,Citrate
2.1,0.53,Citrate
2.28,0.378,Citrate
2.62,0.205,Citrate
3.24,0.138,Citrate
3.5,0.13,Citrate
3.8,0.125,Citrate
4.45,0.126,Citrate
4.98,0.124,Citrate
5.65,0.124,Citrate
6.4,0.125,Citrate
6.8,0.129,Citrate
7.15,0.137,Citrate
7.65,0.15,Citrate
8.23,0.164,Citrate
8.75,0.251,Citrate
9.15,0.461,Borate
9.55,1.07,Borate
9.8,1.82,Borate
10.02,2.87,Borate
10.26,4.74,Borate
10.55,8.71,Borate
10.84,16,Borate
11.06,25.3,Borate
11.28,40.1,Borate
11.47,59.7,Borate
11.7,96.6,Borate
11.97,171,Borate
12.18,264,Borate
12.32,356,Borate
