### pH rate profile data for rate constant of rearrangement in 1:1 dioxane water
###
### Data from "On the Rearrangement in Dioxane/Water of (\textit{Z})-Arylhydrazones of 5-Amino-3-benzoyl-1,2,4-oxadiazole into (2-Aryl-5-phenyl-2\textit{H}-1,2,3-triazol-4-yl)ureas: Substituent Effects on the Different Reaction Pathways."
### F. D'Anna, V. Frenna, G. Macaluso, S. Marullo, S. Morganti, V. Pace, D. Spinelli, R. Spisani, C. Tavani, J. Org. Chem., 2006, 71, 5616-5624. https://doi.org/10.1021/jo0605849
### data sets are found in the supplementary material at https://ndownloader.figstatic.com/files/4775281
###
###
pS+,"k(A,R)x10^5",BUFFER
0.09,45.2,HCl
0.2,40.3,HCl
0.36,33.4,HCl
0.48,28.8,HCl
0.59,24.9,HCl
0.72,20,HCl
0.88,15.2,HCl
1.02,11.6,HCl
1.1,9.64,HCl
1.24,7.13,HCl
1.4,5.16,HCl
1.57,3.58,HCl
1.76,2.37,Citrate
2,1.48,Citrate
2.24,0.877,Citrate
2.42,0.608,Citrate
2.98,0.445,Citrate
3.42,0.399,Citrate
3.75,0.399,Citrate
4.25,0.402,Citrate
4.85,0.393,Citrate
5.63,0.402,Citrate
6.5,0.398,Citrate
6.95,0.445,Citrate
7.45,0.657,Citrate
8.15,1.77,Citrate
8.65,5.36,Citrate
9.37,18.2,Borate
9.77,43.1,Borate
10,68.1,Borate
10.18,99.5,Borate
10.35,143,Borate
10.57,226,Borate
10.76,337,Borate
10.99,548,Borate
11.2,851,Borate
11.5,1600,Borate
11.77,2870,Borate
11.99,4560,Borate
