### pH rate profile data for rate constant of rearrangement in 1:1 dioxane water
###
### Data from "On the Rearrangement in Dioxane/Water of (Z)-Arylhydrazones of 5-Amino-3-benzoyl-1,2,4-oxadiazole into (2-Aryl-5-phenyl-2H-1,2,3-triazol-4-yl)ureas: Substituent Effects on the Different Reaction Pathways."
### F. D'Anna, V. Frenna, G. Macaluso, S. Marullo, S. Morganti, V. Pace, D. Spinelli, R. Spisani, C. Tavani, J. Org. Chem., 2006, 71, 5616-5624. https://doi.org/10.1021/jo0605849
### data sets are found in the supplementary material at https://ndownloader.figstatic.com/files/4775281
###
#
# Transcribed by Sydney Whitlock,
#
#
pS+,"k(A,R)x10^5"
0.09,45.2
0.2,40.3
0.36,33.4
0.48,28.8
0.59,24.9
0.72,20
0.88,15.2
1.02,11.6
1.1,9.64
1.24,7.13
1.4,5.16
1.57,3.58
1.76,2.37
2,1.48
2.24,0.877
2.42,0.608
2.98,0.445
3.42,0.399
3.75,0.399
4.25,0.402
4.85,0.393
5.63,0.402
6.5,0.398
6.95,0.445
7.45,0.657
8.15,1.77
8.65,5.36
9.37,18.2
9.77,43.1
10,68.1
10.18,99.5
10.35,143
10.57,226
10.76,337
10.99,548
11.2,851
11.5,1600
11.77,2870
11.99,4560
