Substituent,Molecule,K,kOH,kH2O x 10^6,kH/Ka x 10^3
p-OCH3,1c,1.4,1.24909967576651,12.4,2.13
p-CH3,1e,1.34,1.476783667298633,11.9,1.88
m-CH3,1d,1.23,2.027019980167931,9.18,1.77
H,1b,1.23,1.1637181789419635,7.94,1.58
p-Br,1i,1.06,6.324555320336759,3.44,0.652
p-Cl,1g,1.08,5.091267032871091,3.9899999999999998,0.726
m-Cl,1f,0.976,8.50652690585294,2.71,0.533
m-Br,1h,0.983,9.866306299725343,2.64,0.495
p-CN,1j,0.88,101.50911289140498,0.95,0.155
m-NO2,1k,0.868,49.96398703066039,0.995,0.18000000000000002
p-NO2,1l,,376.3110415600371,0.61,
